LED#;Name;Filter;Wavelength;Peak
1;M365LP1;F39-363;346-373 nm;365
2;M595L4;F39-572;555-587 nm;585
3;M470LS;F39-462;446-479 nm;470
4;Empty;F39-508;497-520 nm;505
5;Empty;F39-833;521-542 nm;530
6;Empty;F39-572;555-587 nm;585
7;Empty;F39-641;627-654 nm;630
8;Empty;F37-406;396-417 nm;405
